Sequence Length,Population Size,Num Generations,Crossover Rate,Differential Weight,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
32,20,25,1.0,0.5,0.9994983673095703,0.9995696544647217,0.9994983673095703,0.9996227622032166,0.9996761083602905,0.999596357345581,0.9996516108512878
32,20,25,1.0,1.0,0.9989224076271057,0.9995346069335938,0.9990125298500061,0.9991233348846436,0.9989224076271057,0.9995147585868835,0.9993900656700134
32,20,25,1.0,2.0,0.9947736263275146,0.9985451698303223,0.9947736263275146,0.998117208480835,0.9980966448783875,0.9962722063064575,0.9968122243881226
64,20,25,0.6,0.5,0.987978994846344,0.9895044565200806,0.987978994846344,0.9884060621261597,0.989855170249939,0.9885361194610596,0.9912748336791992
64,20,25,0.6,1.0,0.984859824180603,0.9850453734397888,0.984859824180603,0.9875550270080566,0.9858920574188232,0.9858100414276123,0.9913520812988281
64,20,25,0.6,2.0,0.9812859296798706,0.9812859296798706,0.9845644235610962,0.9845492243766785,0.9889582395553589,0.9849090576171875,0.9899517893791199
64,20,25,0.8,0.5,0.9871782064437866,0.9888217449188232,0.9871782064437866,0.9878681898117065,0.9894786477088928,0.9880338311195374,0.9907834529876709
64,20,25,0.8,1.0,0.9840431213378906,0.9875622391700745,0.9873692393302917,0.9902160167694092,0.988610029220581,0.9840431213378906,0.990257978439331
64,20,25,0.8,2.0,0.9805065989494324,0.986415445804596,0.986830472946167,0.9896529912948608,0.986481785774231,0.9855617880821228,0.9805065989494324
64,20,25,1.0,0.5,0.9872455596923828,0.9899880290031433,0.9872455596923828,0.9895074367523193,0.9900804162025452,0.988919734954834,0.9924155473709106
64,20,25,1.0,1.0,0.9867566227912903,0.9874718189239502,0.9877221584320068,0.9867566227912903,0.9881052374839783,0.9873956441879272,0.9917980432510376
64,20,25,1.0,2.0,0.9788430333137512,0.9788430333137512,0.9891884922981262,0.9863111972808838,0.9861818552017212,0.9839235544204712,0.9842985272407532
