Population Size,Num Generations,Crossover Rate,Differential Weight,Sequence Length,Init Sol Type,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
20,25,0.225,0.4,16,uniform_distro,0.9573984146118164,0.9930609464645386,0.989396333694458,0.9573984146118164,0.9675939083099365,0.9610368013381958,0.9906164407730103
20,25,0.225,0.8,16,normal_distro,0.9573932886123657,0.9573932886123657,0.9818160533905029,0.9857469201087952,0.9680570363998413,0.9864559173583984,0.986749529838562
10,13,0.45,1.6,16,normal_distro,0.957213282585144,0.957213282585144,0.9924222826957703,0.9890633225440979,0.9700407981872559,0.9867861270904541,0.9644087553024292
20,13,0.9,0.4,64,normal_distro,0.9567039012908936,0.9898318648338318,0.9567039012908936,0.9788912534713745,0.978419303894043,0.9941036105155945,0.9878710508346558
20,13,0.9,1.6,8,normal_distro,0.9562485814094543,0.961451530456543,0.9972845911979675,0.9562485814094543,0.9747682213783264,0.9659839868545532,0.9969569444656372
5,25,0.9,0.8,256,normal_distro,0.956224799156189,0.956224799156189,0.9629420638084412,0.9648059010505676,0.9737982749938965,0.9802583456039429,0.9749339818954468
20,25,0.45,0.8,8,normal_distro,0.9560319185256958,0.9845647811889648,0.9560319185256958,0.9929001331329346,0.990107536315918,0.9856044054031372,0.9760828018188477
10,25,0.9,1.6,32,uniform_distro,0.9558060765266418,0.9675096273422241,0.9930694699287415,0.9812428951263428,0.9901652336120605,0.9645055532455444,0.9558060765266418
10,13,0.225,0.4,64,uniform_distro,0.9556533694267273,0.9739331007003784,0.9556533694267273,0.9663576483726501,0.9705843925476074,0.9644186496734619,0.9834434986114502
10,25,0.225,0.8,64,normal_distro,0.9556480050086975,0.9843037724494934,0.9818709492683411,0.969843864440918,0.9556480050086975,0.965639591217041,0.9853852987289429
10,25,0.225,0.4,16,uniform_distro,0.9556423425674438,0.9773174524307251,0.9556423425674438,0.9759619832038879,0.9858713150024414,0.9850091934204102,0.9634543657302856
20,25,0.45,0.8,128,uniform_distro,0.9555303454399109,0.9937320947647095,0.9771670699119568,0.9694350361824036,0.9673333168029785,0.9773381948471069,0.9555303454399109
20,25,0.225,0.8,64,uniform_distro,0.9554111957550049,0.972102165222168,0.9911113977432251,0.9680758714675903,0.9692592024803162,0.987530529499054,0.9554111957550049
20,25,0.225,0.4,4,normal_distro,0.9549747109413147,0.9967352151870728,0.9859640002250671,0.9720597267150879,0.9549747109413147,0.9627441763877869,0.9650299549102783
20,13,0.9,0.8,16,normal_distro,0.9549632668495178,0.9781851768493652,0.9858773946762085,0.9549632668495178,0.9556623101234436,0.9862828850746155,0.9928486347198486
20,25,0.45,0.8,8,uniform_distro,0.9548497796058655,0.9960917830467224,0.9943466782569885,0.9548497796058655,0.986809253692627,0.9830794930458069,0.9660823345184326
10,25,0.45,1.6,16,uniform_distro,0.9546890258789062,0.9912927150726318,0.9546890258789062,0.9677472114562988,0.9624266624450684,0.9794677495956421,0.9798237085342407
20,25,0.45,0.4,256,normal_distro,0.9544637799263,0.9721485376358032,0.9727804660797119,0.9669173359870911,0.9544637799263,0.9729611873626709,0.9721846580505371
20,25,0.45,1.6,8,uniform_distro,0.954140305519104,0.9662057757377625,0.9627735614776611,0.9876115322113037,0.954140305519104,0.975932240486145,0.9786298871040344
20,25,0.225,0.8,8,uniform_distro,0.9539043307304382,0.9960746169090271,0.9539043307304382,0.9779245853424072,0.986244261264801,0.9973878860473633,0.9829280376434326
20,25,0.9,1.6,32,uniform_distro,0.9538570642471313,0.9856429100036621,0.9538570642471313,0.9904063940048218,0.9752697944641113,0.9710776209831238,0.9602179527282715
20,25,0.225,0.8,128,normal_distro,0.9538116455078125,0.9712359309196472,0.9824246168136597,0.9785619974136353,0.9538116455078125,0.9786680936813354,0.9847744107246399
10,25,0.225,0.4,64,normal_distro,0.9533706903457642,0.981537401676178,0.9680082201957703,0.9533706903457642,0.9724371433258057,0.9857787489891052,0.9909319281578064
10,13,0.45,0.4,16,normal_distro,0.9532044529914856,0.9596787691116333,0.9698539972305298,0.9532044529914856,0.9798302054405212,0.9562804698944092,0.983359158039093
5,25,0.9,0.4,128,uniform_distro,0.9529215097427368,0.9854779243469238,0.9833493232727051,0.9546300768852234,0.9771298766136169,0.9529215097427368,0.9736196994781494
20,25,0.45,0.8,64,normal_distro,0.9527584314346313,0.9805600643157959,0.9527584314346313,0.9542893171310425,0.9728761315345764,0.9558738470077515,0.9858838319778442
20,13,0.225,0.8,4,uniform_distro,0.952705442905426,0.9931490421295166,0.996017336845398,0.9961556792259216,0.9657489657402039,0.9953504800796509,0.952705442905426
5,13,0.225,0.8,64,normal_distro,0.9519904851913452,0.984614372253418,0.9887037873268127,0.9519904851913452,0.9846909046173096,0.9633585810661316,0.9721747636795044
20,25,0.45,0.8,16,normal_distro,0.9517228603363037,0.9820966124534607,0.9733538627624512,0.9745057821273804,0.9717499613761902,0.9881328344345093,0.9517228603363037
20,13,0.225,0.8,8,uniform_distro,0.9513970017433167,0.973294198513031,0.9637563228607178,0.9766154885292053,0.9513970017433167,0.9649323225021362,0.964787483215332
20,25,0.9,0.8,32,normal_distro,0.9505486488342285,0.9505486488342285,0.989448070526123,0.9885556697845459,0.9791985750198364,0.9916563034057617,0.960014820098877
20,25,0.225,1.6,64,normal_distro,0.9504695534706116,0.9820767641067505,0.9537854194641113,0.9558504223823547,0.968694269657135,0.9504695534706116,0.9689157009124756
20,25,0.45,0.8,16,uniform_distro,0.9502421617507935,0.9756094217300415,0.9502421617507935,0.9603521823883057,0.9750919938087463,0.9672291278839111,0.9539998769760132
20,13,0.45,1.6,4,normal_distro,0.949735164642334,0.969726026058197,0.949735164642334,0.9861347675323486,0.9639230370521545,0.959895133972168,0.9723784923553467
10,25,0.225,1.6,64,normal_distro,0.9496861696243286,0.9777262806892395,0.9496861696243286,0.9581780433654785,0.9541028738021851,0.9806286692619324,0.9557865858078003
20,25,0.225,0.8,64,normal_distro,0.9491246938705444,0.9875670671463013,0.9879153370857239,0.9927215576171875,0.9491246938705444,0.9842597246170044,0.9843158721923828
20,13,0.45,1.6,16,uniform_distro,0.9487446546554565,0.9491759538650513,0.9734809994697571,0.9487446546554565,0.9719908237457275,0.9756222367286682,0.9853659868240356
10,25,0.45,0.4,4,normal_distro,0.9481948614120483,0.9879115223884583,0.9728407859802246,0.9481948614120483,0.9820760488510132,0.9822342395782471,0.9813253879547119
20,13,0.45,0.8,32,normal_distro,0.9481459856033325,0.9481459856033325,0.9903002977371216,0.9804224967956543,0.949144721031189,0.9720001816749573,0.9802300333976746
20,13,0.45,1.6,32,uniform_distro,0.9480171203613281,0.9819020628929138,0.9480171203613281,0.9795966744422913,0.9815726280212402,0.9917914867401123,0.9878908395767212
20,25,0.225,1.6,4,uniform_distro,0.9474191665649414,0.9899920225143433,0.9798566102981567,0.9732836484909058,0.9474191665649414,0.9954839944839478,0.9977085590362549
10,25,0.9,0.8,32,uniform_distro,0.9473891258239746,0.966555118560791,0.9768247604370117,0.9473891258239746,0.9915677309036255,0.9891752004623413,0.9757480621337891
20,25,0.225,0.4,64,uniform_distro,0.9472262859344482,0.9472262859344482,0.983939528465271,0.9794902801513672,0.9871817827224731,0.9867447018623352,0.9765185117721558
10,25,0.9,0.4,16,uniform_distro,0.947181224822998,0.9589492678642273,0.9946963787078857,0.9583147764205933,0.9762447476387024,0.947181224822998,0.9786823987960815
20,25,0.9,0.4,4,uniform_distro,0.9471611976623535,0.997077226638794,0.9725023508071899,0.9719769954681396,0.9779675602912903,0.9471611976623535,0.9855348467826843
20,25,0.225,0.4,8,uniform_distro,0.9469506144523621,0.9985526204109192,0.9884210228919983,0.9469506144523621,0.9823893904685974,0.9634425640106201,0.9888601303100586
20,25,0.9,1.6,128,normal_distro,0.9467326402664185,0.9859797954559326,0.9467326402664185,0.9835858941078186,0.9847252368927002,0.9617856740951538,0.9498804211616516
20,13,0.9,0.4,16,normal_distro,0.9467179775238037,0.9467179775238037,0.9855233430862427,0.9715996980667114,0.9712890982627869,0.9891278147697449,0.9682377576828003
20,25,0.45,0.8,64,uniform_distro,0.9466988444328308,0.9736061096191406,0.9466988444328308,0.9609972834587097,0.9764923453330994,0.9760359525680542,0.9485230445861816
20,13,0.225,0.8,8,normal_distro,0.9466750621795654,0.9673882722854614,0.9466750621795654,0.963629961013794,0.9728434085845947,0.973504900932312,0.9770804047584534
20,25,0.9,0.8,128,normal_distro,0.9465986490249634,0.9880878925323486,0.9465986490249634,0.9660346508026123,0.9768701791763306,0.9830250144004822,0.9730303287506104
20,25,0.9,0.8,16,normal_distro,0.9461780786514282,0.9923168420791626,0.9723584651947021,0.9683352708816528,0.9461780786514282,0.9829816818237305,0.9793309569358826
20,6,0.9,1.6,64,uniform_distro,0.9455916285514832,0.9943655133247375,0.9692145586013794,0.9455916285514832,0.9781014919281006,0.9599838852882385,0.9943804740905762
20,25,0.45,0.8,256,uniform_distro,0.945510983467102,0.9741294384002686,0.9645805358886719,0.9554698467254639,0.9795279502868652,0.945510983467102,0.9876627922058105
10,25,0.225,1.6,256,normal_distro,0.9454340934753418,0.955939531326294,0.9561681151390076,0.9454340934753418,0.9640870690345764,0.9489922523498535,0.9649295806884766
20,13,0.45,0.4,32,uniform_distro,0.9452785849571228,0.9787794351577759,0.9690818786621094,0.9452785849571228,0.9912651777267456,0.9846805334091187,0.960104763507843
5,25,0.9,0.4,512,uniform_distro,0.9452052116394043,0.9608792066574097,0.9474232196807861,0.9482653737068176,0.9479248523712158,0.9452052116394043,0.9491128921508789
20,25,0.225,1.6,256,normal_distro,0.9452049732208252,0.967923641204834,0.9607574343681335,0.9577706456184387,0.9452049732208252,0.9702864289283752,0.9605368971824646
20,13,0.225,0.8,64,uniform_distro,0.9451501965522766,0.9750770330429077,0.9519844055175781,0.9810333251953125,0.9451501965522766,0.9668351411819458,0.9471487402915955
20,25,0.45,0.4,8,uniform_distro,0.9448139667510986,0.9764124155044556,0.9893174171447754,0.9626232385635376,0.9448139667510986,0.9659633636474609,0.9678704738616943
