Mutation Max Amount,Mutation Rate,Crossover Rate,Elitism Rate,Sequence Length,Min Fidelity,I,X,Y,Z,H,R_X_PI/4
0.125,0.5,0.25,0.25,256,0.9609358310699463,0.973666250705719,0.9693030118942261,0.9713670015335083,0.9609358310699463,0.9726625084877014,0.9717227220535278
0.25,0.125,0.25,0.25,128,0.9609259366989136,0.9609259366989136,0.9797035455703735,0.9823068380355835,0.9844487905502319,0.9778553247451782,0.9684476852416992
0.125,0.5,0.25,0.25,128,0.9608330130577087,0.9859514236450195,0.9608330130577087,0.9704364538192749,0.9823938608169556,0.9705549478530884,0.9818977117538452
0.125,0.5,0.125,0.125,256,0.9606443643569946,0.9694020748138428,0.969214677810669,0.9701416492462158,0.9676386117935181,0.9606443643569946,0.969208300113678
0.25,0.5,0.25,0.25,256,0.960378885269165,0.9773138165473938,0.9745869040489197,0.9689016938209534,0.9681891798973083,0.960378885269165,0.9679948091506958
0.25,0.125,0.25,0.125,256,0.9599796533584595,0.965043306350708,0.9704809784889221,0.9599796533584595,0.9706957340240479,0.9673413634300232,0.9679040312767029
0.125,0.125,0.5,0.125,256,0.9598569273948669,0.9690033197402954,0.9712784290313721,0.9598569273948669,0.9616990089416504,0.9648483991622925,0.9723629951477051
0.125,0.25,0.125,0.25,256,0.9594821929931641,0.9703000783920288,0.9759562015533447,0.9594821929931641,0.9695720672607422,0.9638361930847168,0.9692636728286743
0.25,0.5,0.5,0.25,256,0.95858234167099,0.9734591245651245,0.9686267375946045,0.95858234167099,0.9656625390052795,0.9695461988449097,0.9718239307403564
0.25,0.5,0.25,0.25,128,0.958540678024292,0.9660243988037109,0.9700127840042114,0.9688111543655396,0.9825959801673889,0.958540678024292,0.9691821932792664
0.125,0.5,0.25,0.125,256,0.9582924842834473,0.9743678569793701,0.9654643535614014,0.9658159613609314,0.9649769067764282,0.9582924842834473,0.9712299108505249
0.125,0.25,0.25,0.125,128,0.957873523235321,0.9828829765319824,0.9700061082839966,0.9725161194801331,0.9766301512718201,0.957873523235321,0.9769694209098816
0.25,0.25,0.125,0.5,128,0.9577691555023193,0.9743907451629639,0.9577691555023193,0.974004864692688,0.9790095090866089,0.9641610383987427,0.9817349314689636
0.25,0.125,0.5,0.125,128,0.9577128887176514,0.9794653654098511,0.9847036004066467,0.9676617383956909,0.9594434499740601,0.9577128887176514,0.9813156127929688
0.25,0.5,0.25,0.5,128,0.9572075605392456,0.9863563179969788,0.9664086699485779,0.9855809211730957,0.9746187925338745,0.9572075605392456,0.9858229756355286
0.5,0.25,0.5,0.5,128,0.9569294452667236,0.9610365033149719,0.9789233803749084,0.9799342155456543,0.9664794206619263,0.9605581760406494,0.9569294452667236
0.125,0.25,0.25,0.5,128,0.9569103121757507,0.9857501983642578,0.9735554456710815,0.9569103121757507,0.9702649116516113,0.9816336035728455,0.9815447330474854
0.25,0.125,0.5,0.25,256,0.9566712975502014,0.9757820963859558,0.9692519903182983,0.9687297344207764,0.9566712975502014,0.9592000246047974,0.9653685092926025
0.25,0.125,0.5,0.5,256,0.9563215970993042,0.974311888217926,0.9622249603271484,0.9563215970993042,0.9677486419677734,0.9676746726036072,0.9669146537780762
0.25,0.5,0.5,0.5,256,0.9558757543563843,0.956066906452179,0.9729443788528442,0.9677028656005859,0.9558757543563843,0.9677506685256958,0.9714390635490417
0.25,0.25,0.25,0.25,256,0.9556826949119568,0.9716552495956421,0.9702805280685425,0.9708343148231506,0.9690353870391846,0.9556826949119568,0.9660010933876038
0.25,0.125,0.25,0.5,256,0.9550682306289673,0.9550682306289673,0.9682489633560181,0.9748226404190063,0.9786377549171448,0.9569403529167175,0.9663063287734985
0.5,0.5,0.25,0.25,128,0.9544399380683899,0.9730638265609741,0.9817987084388733,0.9797715544700623,0.9544399380683899,0.9728858470916748,0.9876757264137268
0.5,0.125,0.5,0.125,128,0.9537531137466431,0.9582766890525818,0.9678153991699219,0.990074098110199,0.9537531137466431,0.9797638654708862,0.9836825728416443
0.25,0.25,0.5,0.125,256,0.9536791443824768,0.968346118927002,0.9620330333709717,0.9536791443824768,0.9581593871116638,0.9705321192741394,0.9747375845909119
0.25,0.5,0.25,0.125,256,0.9534011483192444,0.9723985195159912,0.9534011483192444,0.9564009308815002,0.9728537797927856,0.9709864854812622,0.9646871089935303
0.25,0.5,0.125,0.5,128,0.9530698657035828,0.9896795153617859,0.9807747006416321,0.9530698657035828,0.9746515154838562,0.9728503227233887,0.9698047041893005
0.25,0.5,0.125,0.25,128,0.9529058933258057,0.9764773845672607,0.983651876449585,0.9529058933258057,0.9780323505401611,0.9795330166816711,0.9698826670646667
0.25,0.5,0.5,0.25,128,0.9528924226760864,0.9662397503852844,0.9823137521743774,0.9827432632446289,0.9850420355796814,0.9528924226760864,0.9764705896377563
